REGION,CROP_NAME,YEAR,VARIABLE,VALUE,UoM,SOURCE,CALCULATED_R,CALCULATED_C,CALCULATED_V,ZERO_AS_NULL,COHERENCE_APY,COHERENCE_CROP
BE31,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
BE31,Total wheat,2020,Production,179013.0,t,Mixed,,,Yes,,Yes,Yes
BE31,Soft wheat,2020,Production,179013.0,t,NSI,,Yes,,,Yes,Yes
BE31,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
BE31,Total wheat,2020,Yield,9.401,t/ha,Mixed,,,Yes,,Yes,Yes
BE31,Soft wheat,2020,Yield,9.401,t/ha,NSI,,Yes,,,Yes,Yes
BE31,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
BE32,Total wheat,2020,Area,49753.0,ha,Mixed,,,Yes,,Yes,Yes
BE32,Soft wheat,2020,Area,49753.0,ha,NSI,,Yes,,,Yes,Yes
BE32,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
BE32,Total wheat,2020,Production,451070.0,t,Mixed,,,Yes,,Yes,Yes
BE32,Soft wheat,2020,Production,451070.0,t,NSI,,Yes,,,Yes,Yes
BE32,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
BE32,Total wheat,2020,Yield,9.066,t/ha,Mixed,,,Yes,,Yes,Yes
BE32,Soft wheat,2020,Yield,9.066,t/ha,NSI,,Yes,,,Yes,Yes
BE32,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
BE33,Total wheat,2020,Area,20847.0,ha,Mixed,,,Yes,,Yes,Yes
BE33,Soft wheat,2020,Area,20847.0,ha,NSI,,Yes,,,Yes,Yes
BE33,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
BE33,Total wheat,2020,Production,201820.0,t,Mixed,,,Yes,,Yes,Yes
BE33,Soft wheat,2020,Production,201820.0,t,NSI,,Yes,,,Yes,Yes
BE33,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
BE33,Total wheat,2020,Yield,9.681,t/ha,Mixed,,,Yes,,Yes,Yes
BE33,Soft wheat,2020,Yield,9.681,t/ha,NSI,,Yes,,,Yes,Yes
BE33,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
BE34,Total wheat,2020,Area,2221.0,ha,Mixed,,,Yes,,Yes,Yes
BE34,Soft wheat,2020,Area,2221.0,ha,NSI,,Yes,,,Yes,Yes
BE34,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
BE34,Total wheat,2020,Production,14670.0,t,Mixed,,,Yes,,Yes,Yes
BE34,Soft wheat,2020,Production,14670.0,t,NSI,,Yes,,,Yes,Yes
BE34,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
BE34,Total wheat,2020,Yield,6.605,t/ha,Mixed,,,Yes,,Yes,Yes
BE34,Soft wheat,2020,Yield,6.605,t/ha,NSI,,Yes,,,Yes,Yes
BE34,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
BE35,Total wheat,2020,Area,27973.0,ha,Mixed,,,Yes,,Yes,Yes
BE35,Soft wheat,2020,Area,27973.0,ha,NSI,,Yes,,,Yes,Yes
BE35,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
BE35,Total wheat,2020,Production,237101.0,t,Mixed,,,Yes,,Yes,Yes
BE35,Soft wheat,2020,Production,237101.0,t,NSI,,Yes,,,Yes,Yes
BE35,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
BE35,Total wheat,2020,Yield,8.476,t/ha,Mixed,,,Yes,,Yes,Yes
BE35,Soft wheat,2020,Yield,8.476,t/ha,NSI,,Yes,,,Yes,Yes
BE35,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
BG31,Total wheat,2020,Area,264042.0,ha,NSI,,,,,Yes,
BG31,Soft wheat,2020,Area,264020.0,ha,Eurostat,,,,,Yes,
BG31,Total wheat,2020,Production,1379560.0,t,NSI,,,,,Yes,
BG31,Soft wheat,2020,Production,1379400.0,t,Eurostat,,,,,Yes,
BG31,Total wheat,2020,Yield,5.225,t/ha,NSI,,,,,Yes,
BG31,Soft wheat,2020,Yield,5.224,t/ha,Eurostat,,,Yes,,Yes,
BG32,Total wheat,2020,Area,233691.0,ha,NSI,,,,,Yes,
BG32,Soft wheat,2020,Area,233620.0,ha,Eurostat,,,,,Yes,
BG32,Total wheat,2020,Production,1096794.0,t,NSI,,,,,Yes,
BG32,Soft wheat,2020,Production,1096460.0,t,Eurostat,,,,,Yes,
BG32,Total wheat,2020,Yield,4.693,t/ha,NSI,,,,,Yes,
BG32,Soft wheat,2020,Yield,4.693,t/ha,Eurostat,,,Yes,,Yes,
BG33,Total wheat,2020,Area,266151.0,ha,NSI,,,,,Yes,Yes
BG33,Soft wheat,2020,Area,265740.0,ha,Eurostat,,,,,Yes,Yes
BG33,Durum wheat,2020,Area,410.0,ha,Eurostat,,,,,Yes,Yes
